word,freq
sign,4
drug,4
account,4
russian,4
korea,4
nukes,4
24,4
claims,4
sanford,4
18,4
congress,4
waukesha,4
three,4
mosul,4
govt,4
worked,4
moderator,4
officials,4
exclusive,4
landslide,4
dept,4
cuba,4
machine,4
43,4
evidence,4
delaware,4
premiums,4
camp,4
enough,4
memorial,4
naples,4
asking,4
charity,4
expensive,4
easily,4
cast,4
cia,4
jeffzeleny,4
nominate,4
move,4
ashamed,3
risk,3
learn,3
qualified,3
gives,3
proper,3
losses,3
judge,3
civil,3
diego,3
positions,3
poorly,3
60,3
costs,3
restore,3
22,3
resort,3
europe,3
supporting,3
young,3
yes,3
reported,3
audience,3
hate,3
honest,3
fortunately,3
attorney,3
sometimes,3
closed,3
msm,3
access,3
unable,3
agent,3
journey,3
comments,3
recieved,3
fans,3
mate,3
primaries,3
productive,3
senators,3
14,3
freedom,3
correct,3
shared,3
values,3
romney,3
dog,3
shooting,3
killer,3
near,3
events,3
saudi,3
arabia,3
funding,3
georgia,3
common,3
sense,3
conservative,3
nv,3
desperate,3
passion,3
ny,3
within,3
unleashed,3
40,3
putting,3
nearly,3
murder,3
gays,3
honesty,3
personal,3
belief,3
kept,3
pledged,3
favor,3
losing,3
whose,3
letter,3
sat,3
uk,3
immigrants,3
success,3
timing,3
britain,3
dealing,3
incorrectly,3
joined,3
mass,3
laws,3
dollar,3
playing,3
address,3
quo,3
donations,3
lied,3
light,3
pm,3
discussing,3
arnold,3
anncoulter,3
fawning,3
uschamber,3
harder,3
negotiate,3
reasons,3
accept,3
loan,3
local,3
anybody,3
palestinian,3
returned,3
waiting,3
clear,3
impossible,3
evil,3
tarmac,3
20,3
tweet,3
joniernst,3
usual,3
11pm,3
extremely,3
careless,3
helped,3
destroyed,3
speaker,3
meetings,3
rep,3
officially,3
shootings,3
answering,3
living,3
sound,3
inside,3
senior,3
endorsing,3
31,3
raise,3
swamp,3
france,3
chosen,3
vicious,3
chris,3
prove,3
matter,3
picks,3
enemies,3
picked,3
kasich,3
ted,3
cruz,3
speeches,3
ivanka,3
loans,3
god,3
opposite,3
leaked,3
wikileakes,3
steelworkers,3
signed,3
disrespect,3
tears,3
figure,3
schultz,3
loyal,3
pushed,3
strength,3
hook,3
neurotic,3
involved,3
find,3
listen,3
difference,3
broken,3
liar,3
refugee,3
strategy,3
hopefully,3
syrian,3
complaining,3
double,3
barack,3
jerryjrfalwell,3
550,3
proof,3
power,3
east,3
average,3
coal,3
bloomberg,3
ran,3
wishes,3
tired,3
unite,3
dream,3
columbus,3
rising,3
johnstown,3
viewers,3
distorted,3
ukraine,3
name,3
completely,3
donors,3
kind,3
company,3
russians,3
reset,3
ia,3
rise,3
loved,3
gotten,3
libya,3
citizens,3
