word,freq
lady,30
comes,30
saudi,30
son,30
financial,30
held,30
fraudulent,30
mcconnell,30
abuse,30
whose,30
street,30
extraordinary,30
matt,30
bipartisan,30
doj,30
el,30
tried,29
coverage,29
majority,29
anymore,29
disgraceful,29
price,29
scandal,29
liberal,29
manufacturing,29
spirit,29
2017,29
car,29
changed,29
expensive,29
watched,29
behalf,29
protection,29
perfect,29
products,29
final,29
brennan,29
records,29
beyond,29
talented,29
credit,29
desperately,29
shifty,29
kurds,29
immigrants,28
innocent,28
check,28
patriots,28
gotten,28
haters,28
speaking,28
leading,28
joint,28
classified,28
hits,28
statements,28
12,28
discussed,28
server,28
vicious,28
afternoon,28
condolences,28
defend,28
nafta,28
investigate,28
officers,28
social,28
name,28
forever,28
thinking,28
mississippi,28
voters,28
disgusting,28
emergency,28
agent,28
wrote,28
ohr,28
pushing,27
abe,27
hold,27
criminals,27
vp,27
saturday,27
rule,27
calls,27
address,27
face,27
returned,27
begin,27
saved,27
currency,27
wins,27
amounts,27
chinese,27
setting,27
meantime,27
troy,27
rapidly,26
trillion,26
lied,26
paris,26
inaccurate,26
prior,26
chris,26
11,26
non,26
presidents,26
fairly,26
strongest,26
room,26
mariabartiromo,26
champion,26
later,26
received,26
mean,26
shooting,26
informed,26
questions,26
problems,26
opportunity,26
accomplished,26
impact,26
additional,26
rick,26
fortune,26
mccarthy,26
wanting,26
tariff,26
quo,26
whether,25
keeping,25
terrorist,25
charges,25
terror,25
popular,25
hero,25
died,25
supporters,25
pence,25
discredited,25
numerous,25
council,25
wish,25
via,25
buy,25
regulations,25
excuse,25
reports,25
company,25
standard,25
beat,25
51,25
politician,25
clear,25
deserve,25
christopher,25
obstruct,25
short,25
greater,25
costs,25
became,25
substantially,25
sooo,25
witnesses,25
closed,25
trial,25
transcripts,25
quid,25
deliver,24
star,24
form,24
courts,24
16,24
dinner,24
signing,24
community,24
expected,24
rid,24
september,24
budget,24
prosperity,24
kelly,24
board,24
create,24
strength,24
debate,24
al,24
presidency,24
executive,24
water,24
currently,24
position,24
recently,24
class,24
trip,24
arabia,24
doubt,24
courage,24
enthusiasm,24
dropped,24
soldiers,24
cutting,24
weapons,24
deleted,24
ending,24
actions,24
waiting,24
favor,24
period,24
sadly,24
bush,24
late,24
completely,24
steele,24
wars,24
speaker,24
cohen,24
lover,24
racist,24
lamestream,24
line,23
poor,23
cuomo,23
golf,23
productive,23
group,23
serious,23
venezuela,23
named,23
dow,23
coast,23
prepared,23
calling,23
saw,23
single,23
protecting,23
works,23
king,23
patriot,23
hearings,23
goes,23
seems,23
instead,23
current,23
communities,23
loved,23
usual,23
guard,23
therefore,23
deep,23
showed,23
result,23
giant,23
brett,23
ban,22
health,22
heart,22
oval,22
head,22
mention,22
pm,22
spend,22
weekend,22
demand,22
october,22
tennessee,22
clapper,22
ron,22
candidates,22
june,22
date,22
memorial,22
lou,22
luck,22
ahead,22
serving,22
tougher,22
purposely,22
army,22
elections,22
helped,22
cia,22
willing,22
continuing,22
simple,22
con,22
request,22
relief,22
allowing,22
twitter,22
san,22
clue,22
favorite,22
journal,22
stuff,22
funny,22
red,22
navy,22
aliens,22
partner,22
cars,22
bruce,22
oann,22
difficult,21
terrorism,21
according,21
reading,21
promise,21
sanders,21
hatred,21
